Response ID,dob,gender,job_duration,industry,current_occupation,total_employees,household,Metro or Regional,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Connectivity ,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,q11,q12,q13,q14,q15,q16,q17,q18,Class
23,1976,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,3,3,8,0,8,5,3,8,Yes,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Yes,more productivity
24,1961,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,6,6,7,0,4,8,4,8,Yes,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Not a barrier for me,Somewhat improved,Somewhat improved,Significantly improved,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Stayed about the same,Not a barrier for me,Not a barrier for me,Significantly improved,Strongly agree,Strongly agree,Strongly disagree,Yes,more productivity
25,1965,Female,Between 1 and 5 years,Education and Training,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Couple with dependent children,Metro,4,4,6,1,8,3,4,8,Yes,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Strongly agree,Strongly agree,Strongly agree,No,more productivity
26,1959,Male,Between 1 and 5 years,Wholesale Trade,Managers - Specialist Managers,I am a sole trader/owner-operator,Couple with dependent children,Metro,0,11,8,1,4,0,11,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly agree,Strongly agree,Somewhat agree,No,same productivity
27,1964,Female,More than 5 years,Wholesale Trade,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with dependent children,Metro,4,3,8,1,8,4,3,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,No,more productivity
28,1989,Male,Between 1 and 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,3,5,7,2,8,3,3,8,Yes,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,more productivity
29,1975,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,Couple with no dependent children,Metro,2,4,8,2,8,2,6,6,Yes,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Not a barrier for me,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Strongly agree,Strongly agree,Strongly agree,Yes,more productivity
30,1987,Female,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,More than 200,Couple with dependent children,Metro,1,2,10,0,9,3,2,10,Yes,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly agree,Strongly agree,Somewhat disagree,No,more productivity
31,1975,Female,Between 1 and 5 years,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 1 and 4,One parent family with dependent children,Regional,4,6,7,1,7,4.5,4.5,7,No,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
32,1979,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Couple with no dependent children,Metro,1,4,9,1,8,1,6,8,No,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Significantly worsened,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
33,1983,Female,Between 6 and 12 months,Construction,Professionals - Education Professionals,Between 5 and 19,Couple with dependent children,Metro,4,2,8,2,8,3,3,8,Yes,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Strongly agree,Somewhat agree,Somewhat agree,Yes,more productivity
34,1974,I would rather not say,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,Between 20 and 199,Multiple family household,Metro,2,6,7,0,9,2,6,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,more productivity
35,1967,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Other one family household,Regional,1,6.5,7,0.5,6,1,9.5,7,No,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,less productivity
36,1967,Male,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,2,4,8,0,8.5,2,5.5,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,less productivity
37,1960,Male,More than 5 years,Other Services,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,1,4,8,0,10,1,5,8,No,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
38,1982,Male,More than 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with no dependent children,Metro,4,3,8,2,7,3,4,8,No,Somewhat improved,Somewhat improved,Somewhat improved,Significantly worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Somewhat disagree,Yes,more productivity
39,1979,Male,More than 5 years,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,2,3.5,7.5,0,8.5,2.5,5,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,more productivity
40,1962,Female,Between 6 and 12 months,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Couple with dependent children,Metro,3,1,1,16,3,3,1,1,Yes,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Strongly agree,Strongly agree,Somewhat agree,Yes,more productivity
41,1961,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,Couple with dependent children,Metro,3,5,7,1,8,3,5,7,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,same productivity
42,1983,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 20 and 199,Couple with dependent children,Metro,1,7,8,1,7,1,7,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly disagree,Strongly disagree,Strongly agree,Yes,same productivity
43,1965,Male,Between 1 and 5 years,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Couple with no dependent children,Metro,1,4,7,0,10,1.5,4.5,8,No,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Strongly agree,Somewhat agree,Somewhat agree,No,more productivity
44,1981,Female,Between 6 and 12 months,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Single person,Metro,2,6,6,1,8,3,4,8,No,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,No,more productivity
45,1966,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with no dependent children,Regional,2,5,8.75,0,8,3,5,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Significantly worsened,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat disagree,Somewhat disagree,Somewhat agree,No,less productivity
46,1974,Female,Between 1 and 5 years,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,Couple with dependent children,Metro,2,2,8,0.5,10,2,4,7.5,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Strongly agree,No,same productivity
47,1978,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,Metro,1,3,8,1,11,1,3,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
48,1987,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,3,3,8,3,8,3,2,8,No,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
49,1984,Male,More than 5 years,Manufacturing,Professionals - ICT Professionals,More than 200,Couple with dependent children,Regional,5,3,6,0,10,5,3,6,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat disagree,Somewhat disagree,No,more productivity
50,1983,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,Metro,3,3,8,1,8,4,4,7,No,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Significantly improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
51,1971,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,2,3,7,1,12,2,4,5,No,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Yes,more productivity
52,1980,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,I am a sole trader/owner-operator,Couple with dependent children,Metro,2,2,8,8,2,2,4,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
53,1981,Male,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,Between 20 and 199,Couple with dependent children,Metro,3,4,7,0,9,4,4,7,No,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,more productivity
54,1977,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,Between 1 and 4,Couple with dependent children,Regional,4,4,7,0,9,4,4,7,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Strongly agree,Somewhat agree,Neither agree nor disagree,No,more productivity
55,1981,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,3,3,8,2,8,2,4,8,Yes,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Strongly agree,Strongly agree,No,more productivity
